Challenge,Type,Points,Time Solved
Baffling Buffer 0,Binary Exploitation,150,2020-10-24 13:21:57
Crypto Stands For Cryptography,Cryptography,100,2020-10-24 12:17:24
ROT 26,Cryptography,150,2020-10-24 12:58:28
Welcome to the Obfuscation Games!,Cryptography,175,2020-10-24 16:04:00
The Last Great ZIP File,Cryptography,200,2020-10-25 2:13:48
Forensics 101,Forensics,100,2020-10-24 12:19:18
Staging in 1...2...3,Forensics,150,2020-10-24 13:03:01
Publish3r,Forensics,225,2020-10-25 5:54:47
Open Thermal Exhaust Port,Forensics,275,2020-10-25 1:02:07
You've Got a Friend In Me (and Discord),Reconnaissance,50,2020-10-24 12:16:26
Big Breaches,Reconnaissance,150,2020-10-24 12:23:24
Not So Itsy Bitsy Spider,Reconnaissance,200,2020-10-24 12:27:28
Diving into the announcement,Reconnaissance,225,2020-10-24 19:11:19
Finding Mr. Casyn,Reconnaissance,275,2020-10-24 15:28:53
Complete Transparency,Reconnaissance,325,2020-10-25 6:18:37
Ring Ring,Reconnaissance,325,2020-10-24 15:49:35
High Security Fan Page,Web Exploitation,125,2020-10-24 12:22:37
Barry's Web Application,Web Exploitation,150,2020-10-24 13:20:58
Everyone Loves a Good Cookie,Web Exploitation,175,2020-10-24 13:21:21
Flag Format,Other,50,2020-10-24 12:15:18
MetaCTF CyberGames Feedback,Other,200,2020-10-25 5:33:58
Watermarked,Other,250,2020-10-25 5:06:23
