Challenge,Category,Value,Time
Caesar's Challenge,Cryptography,25,"October 30th, 3:03:17 PM"
YAMS,Cryptography,100,"October 31st, 12:22:48 AM"
Oligar's Tricky RSA,Cryptography,175,"October 30th, 3:30:58 PM"
Gummies,Forensics,50,"October 31st, 9:07:11 AM"
Meta-morphosis,Forensics,75,"October 30th, 3:20:45 PM"
Secret Message,Forensics,100,"October 30th, 9:18:05 PM"
Turnips,Forensics,100,"October 30th, 9:53:01 PM"
Turnips 2,Forensics,150,"October 30th, 9:58:35 PM"
Static,Forensics,250,"November 1st, 5:28:22 PM"
Survey,General Skills,1,"November 1st, 5:02:32 PM"
Join the Discord,General Skills,10,"October 30th, 3:03:51 PM"
Intro to Flags,General Skills,10,"October 30th, 3:03:56 PM"
Basics,General Skills,30,"October 30th, 3:04:13 PM"
Hashbrowns,General Skills,50,"October 30th, 3:06:44 PM"
Grep 0,General Skills,50,"October 30th, 9:26:37 PM"
Numbers,General Skills,50,"November 1st, 5:05:59 PM"
Arithmetic,General Skills,150,"October 31st, 11:20:35 AM"
Zip Madness,General Skills,175,"November 2nd, 12:41:51 PM"
Grep 1,General Skills,200,"October 31st, 3:13:46 PM"
World Trip,General Skills,300,"November 2nd, 12:10:18 PM"
Inspect,Web,50,"October 30th, 3:12:47 PM"
Missing Image,Web,75,"October 30th, 3:13:21 PM"
Forms,Web,125,"October 30th, 3:17:16 PM"
Cookie Recipe,Web,150,"October 30th, 9:20:41 PM"
Login,Web,175,"October 30th, 9:21:30 PM"
